File	type	entity
austen-pride.tsv	LOCATION	Bingley
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Rosings
austen-pride.tsv	LOCATION	Hunsford
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Rosings
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Gracechurch
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Liverpool
austen-pride.tsv	LOCATION	Chamberlayne
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Charlotte
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Hunsford
austen-pride.tsv	LOCATION	Rosings
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Longbourn Everything
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	Meryton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Lambton
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Hunsford
austen-pride.tsv	LOCATION	Kent
austen-pride.tsv	LOCATION	Kent
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Hunsford Parsonage
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Rosings
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Netherfield
austen-pride.tsv	LOCATION	Lambton
austen-pride.tsv	LOCATION	Scotland
austen-pride.tsv	LOCATION	Scotland
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Gretna Green
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Barnet
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Longbourn
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	Brighton
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Scotland
austen-pride.tsv	LOCATION	London
austen-pride.tsv	LOCATION	Pemberley
austen-pride.tsv	LOCATION	Derbyshire
austen-pride.tsv	LOCATION	Hertfordshire
austen-pride.tsv	LOCATION	Lambton
austen-pride.tsv	LOCATION	Scotland
